x,y,z
23.79431788,89.59801258,0
23.7942855,89.59809335,0
23.79424813,89.59818004,0
23.79420758,89.59827075,0
23.79416479,89.59836456,0
23.79412031,89.59846088,0
23.79407452,89.59855935,0
23.79402769,89.59865967,0
23.79398001,89.59876165,0
23.79393166,89.59886515,0
23.79388277,89.59897004,0
23.79383343,89.59907624,0
23.79378373,89.59918369,0
23.79373376,89.59929235,0
23.79368358,89.5994022,0
23.79363323,89.5995132,0
23.79358277,89.59962536,0
23.79353226,89.59973867,0
23.79348173,89.59985311,0
23.79343121,89.59996871,0
23.79338076,89.60008547,0
23.79333038,89.6002034,0
23.79328012,89.60032253,0
23.79323,89.60044286,0
23.79318005,89.60056442,0
23.79313029,89.60068724,0
23.79308074,89.60081133,0
23.79303143,89.60093671,0
23.79298238,89.60106341,0
23.79293358,89.60119146,0
23.79288507,89.60132088,0
23.79283686,89.60145168,0
23.79278896,89.60158389,0
23.79274136,89.60171748,0
23.79269404,89.60185245,0
23.79264699,89.60198875,0
23.79260017,89.60212635,0
23.79255354,89.60226525,0
23.79250709,89.60240541,0
23.79246078,89.60254683,0
23.79241457,89.60268947,0
23.79236843,89.60283334,0
23.79232233,89.60297841,0
23.79227623,89.60312466,0
23.79223009,89.6032721,0
23.7921839,89.60342069,0
23.79213758,89.60357045,0
23.79209114,89.60372134,0
23.79204454,89.60387336,0
23.79199771,89.60402651,0
23.79195066,89.60418076,0
23.79190333,89.60433611,0
23.79185571,89.60449255,0
23.79180774,89.60465008,0
23.79175939,89.60480867,0
23.79171064,89.60496834,0
23.79166144,89.60512908,0
23.79161176,89.60529088,0
23.79156157,89.60545375,0
23.79151083,89.60561768,0
23.7914595,89.60578268,0
23.79140756,89.60594875,0
23.79135494,89.6061159,0
23.79130164,89.60628415,0
23.7912476,89.6064535,0
23.7911928,89.60662398,0
23.79113725,89.6067956,0
23.79108094,89.60696835,0
23.79102386,89.60714222,0
23.79096603,89.60731722,0
23.79090746,89.60749333,0
23.79084814,89.60767054,0
23.79078808,89.60784884,0
23.7907273,89.60802823,0
23.79066579,89.60820868,0
23.79060358,89.60839018,0
23.79054065,89.60857273,0
23.79047703,89.60875631,0
23.79041272,89.60894091,0
23.79034772,89.60912652,0
23.79028205,89.60931313,0
23.79021571,89.60950072,0
23.79014872,89.60968929,0
23.79008107,89.60987884,0
23.79001278,89.61006934,0
23.78994385,89.61026081,0
23.78987428,89.61045322,0
23.78980409,89.61064656,0
23.78973328,89.61084084,0
23.78966186,89.61103603,0
23.78958984,89.61123212,0
23.78951722,89.61142911,0
23.78944403,89.61162696,0
23.78937026,89.61182567,0
23.78929594,89.61202518,0
23.78922107,89.61222547,0
23.78914567,89.61242648,0
23.78906975,89.61262808,0
23.7889933,89.61283015,0
23.7889163,89.61303255,0
23.78883871,89.61323515,0
23.78876052,89.61343785,0
23.78868169,89.61364053,0
23.78860218,89.61384307,0
23.78852198,89.61404538,0
23.78844103,89.61424736,0
23.78835931,89.61444891,0
23.78827679,89.61464993,0
23.78819342,89.61485032,0
23.7881092,89.61504999,0
23.78802407,89.61524883,0
23.787938,89.61544677,0
23.78785097,89.61564371,0
23.78776294,89.61583956,0
23.78767388,89.61603424,0
23.78758377,89.61622766,0
23.78749257,89.61641973,0
23.78740025,89.61661036,0
23.78730681,89.61679946,0
23.78721222,89.61698693,0
23.78711645,89.61717269,0
23.78701948,89.61735666,0
23.78692129,89.61753875,0
23.78682188,89.61771888,0
23.78672121,89.61789698,0
23.78661927,89.61807297,0
23.78651605,89.61824681,0
23.78641151,89.61841846,0
23.78630564,89.61858789,0
23.78619838,89.61875519,0
23.78608969,89.61892057,0
23.7859796,89.61908425,0
23.78586815,89.61924646,0
23.78575542,89.61940737,0
23.78564146,89.61956718,0
23.78552637,89.61972607,0
23.7854102,89.61988423,0
23.78529304,89.62004184,0
23.78517497,89.62019908,0
23.78505609,89.62035612,0
23.78493649,89.62051314,0
23.78481626,89.62067033,0
23.78469548,89.62082786,0
23.78457429,89.62098593,0
23.78445277,89.62114471,0
23.78433103,89.6213044,0
23.78420921,89.62146518,0
23.78408741,89.62162723,0
23.78396579,89.62179076,0
23.78384448,89.62195595,0
23.78372361,89.622123,0
23.78360337,89.6222921,0
23.78348392,89.62246344,0
23.78336545,89.62263718,0
23.78324813,89.62281352,0
23.7831322,89.62299261,0
23.78301786,89.6231746,0
23.78290534,89.62335962,0
23.7827949,89.62354775,0
23.7826868,89.62373905,0
23.78258129,89.62393351,0
23.7824786,89.62413105,0
23.78237878,89.62433153,0
23.78228181,89.62453478,0
23.78218757,89.62474065,0
23.78209594,89.62494903,0
23.78200675,89.62515987,0
23.78191982,89.62537309,0.000001
23.78183498,89.62558867,0.000003
23.78175202,89.6258066,0.000009
23.78167076,89.62602687,0.00002
23.78159099,89.6262495,0.000043
23.78151249,89.62647455,0.000085
23.78143509,89.62670204,0.000153
23.78135859,89.62693204,0.000259
23.78128279,89.62716461,0.000409
23.7812075,89.62739982,0.000607
23.78113253,89.62763776,0.000846
23.7810577,89.62787851,0.001113
23.78098283,89.62812216,0.001371
23.78090775,89.62836881,0.001569
23.78083227,89.62861856,0.001648
23.78075622,89.62887152,0.001556
23.78067942,89.6291278,0.001271
23.78060172,89.62938752,0.00083
23.78052294,89.6296508,0.00037
23.7804429,89.62991778,0.000184
23.78036144,89.63018858,0.000564
23.78027839,89.63046337,0.001795
23.78019356,89.63074231,0.004309
23.78010679,89.63102558,0.008375
23.7800179,89.6313134,0.014116
23.77992669,89.63160603,0.021511
23.77983311,89.63190364,0.030384
23.77973728,89.63220627,0.040415
23.77963939,89.6325139,0.05141
23.77953964,89.63282651,0.063552
23.77943829,89.63314403,0.076666
23.77933558,89.63346636,0.090209
23.77923175,89.63379342,0.103783
23.7791271,89.63412512,0.116907
23.77902188,89.63446134,0.129186
23.77891638,89.63480197,0.140268
23.77881087,89.63514692,0.149709
23.77870565,89.63549609,0.15711
23.77860103,89.63584937,0.162224
23.77849728,89.63620666,0.164843
23.77839472,89.63656788,0.164751
23.77829366,89.63693292,0.161835
23.77819443,89.63730165,0.156097
23.77809736,89.63767399,0.147638
23.77800277,89.63804987,0.136662
23.777911,89.63842916,0.12347
23.77782242,89.63881174,0.108484
23.7777374,89.63919752,0.092358
23.77765629,89.63958638,0.075983
23.7775795,89.63997816,0.060168
23.77750742,89.64037269,0.045392
23.77744048,89.64076981,0.032125
23.77737908,89.64116923,0.020656
23.77732368,89.6415707,0.01394
23.77727471,89.64197387,0
23.7772326,89.64237827,0
23.77719778,89.64278335,0
23.77717055,89.64318837,0
23.77715089,89.64359255,0
23.7771385,89.64399524,0.016504
23.77713297,89.64439596,0.023801
23.77713387,89.64479435,0.03518
23.77714071,89.64519014,0.047049
23.77715306,89.64558311,0.060206
23.77717045,89.64597309,0.075166
23.77719243,89.64635995,0.092148
23.77721854,89.64674361,0.111386
23.77724836,89.64712399,0.132912
23.77728148,89.64750104,0.15675
23.77731747,89.64787474,0.183031
23.77735596,89.64824508,0.211858
23.77739655,89.64861204,0.243273
23.77743888,89.64897563,0.276441
23.77748258,89.64933586,0.311055
23.77752731,89.64969271,0.347422
23.77757272,89.6500462,0.384821
23.77761849,89.65039636,0.422477
23.77766429,89.65074321,0.459794
23.77770982,89.65108672,0.496249
23.77775476,89.65142691,0.531344
23.77779879,89.65176377,0.564753
23.77784165,89.65209733,0.59629
23.77788301,89.65242757,0.625835
23.77792262,89.6527545,0.653387
23.77796019,89.65307814,0.678955
23.77799545,89.6533985,0.702576
23.77802813,89.65371564,0.724361
23.77805798,89.65402958,0.744323
23.77808477,89.65434043,0.762377
23.77810835,89.65464839,0.778692
23.77812876,89.65495371,0.793748
23.77814612,89.65525662,0.807925
23.77816056,89.65555729,0.821313
23.77817221,89.65585586,0.833934
23.77818122,89.65615244,0.845825
23.77818772,89.65644712,0.856982
23.77819186,89.65674003,0.867476
23.77819377,89.65703124,0.877335
23.7781936,89.65732084,0.88661
23.77819149,89.65760892,0.895385
23.77818759,89.65789556,0.903734
23.77818205,89.65818083,0.911672
23.77817501,89.6584648,0.919129
23.77816663,89.65874756,0.926155
23.77815707,89.65902921,0.932972
23.77814647,89.6593098,0.939601
23.778135,89.6595894,0.945881
23.77812281,89.65986812,0.951814
23.77811008,89.66014606,0.957659
23.77809696,89.66042325,0.963807
23.77808363,89.66069976,0.969911
23.77807026,89.6609757,0.975463
23.77805701,89.6612511,0.980483
23.77804409,89.66152604,0.985087
23.77803168,89.66180057,0.989342
23.77801995,89.66207471,0.993232
23.77800909,89.66234854,0.996784
23.77799931,89.66262208,1.000038
23.77799078,89.66289533,1.002994
23.77798371,89.66316826,1.005729
23.77797829,89.66344081,1.009134
23.77797468,89.66371288,1.013849
23.77797295,89.66398426,1.019175
23.77797311,89.66425474,1.024423
23.7779751,89.66452409,1.029441
23.77797887,89.66479215,1.034238
23.77798434,89.66505878,1.038825
23.77799146,89.66532387,1.043236
23.77800016,89.66558729,1.047457
23.77801037,89.66584894,1.051487
23.77802203,89.66610873,1.055351
23.77803508,89.66636658,1.059038
23.77804943,89.66662237,1.062529
23.77806503,89.66687605,1.06586
23.77808181,89.66712753,1.069035
23.77809971,89.66737673,1.072019
23.77811866,89.66762358,1.074843
23.77813859,89.667868,1.077515
23.77815944,89.66810992,1.080031
23.77818114,89.66834927,1.082393
23.77820365,89.66858597,1.084604
23.77822687,89.66881993,1.086643
23.77825076,89.66905109,1.088567
23.77827525,89.66927937,1.090364
23.77830027,89.66950472,1.092
23.77832577,89.66972708,1.093519
23.77835169,89.66994637,1.094946
23.77837796,89.6701625,1.096251
23.77840452,89.67037541,1.097446
23.7784313,89.67058504,1.098563
23.77845826,89.6707913,1.099584
23.77848531,89.67099412,1.100545
23.7785124,89.67119344,1.101446
23.77853946,89.67138919,1.102275
23.77856645,89.67158137,1.103026
23.77859332,89.67177008,1.103753
23.77862003,89.6719554,1.104458
23.77864652,89.67213741,1.105096
23.77867275,89.67231619,1.105687
23.77869868,89.67249181,1.106227
23.77872426,89.67266437,1.1067
23.77874946,89.67283391,1.107092
23.77877422,89.67300053,1.10743
23.77879851,89.67316431,1.107692
23.77882226,89.67332532,1.107863
23.77884546,89.67348364,1.107936
23.77886804,89.67363935,1.107901
23.77888997,89.67379251,1.107746
23.77891122,89.6739432,1.107443
23.77893174,89.67409151,1.106987
23.77895147,89.67423752,1.106336
23.77897041,89.67438131,1.105473
23.77898849,89.67452296,1.104368
23.7790057,89.67466256,1.10297
23.77902198,89.67480018,1.101232
23.77903731,89.67493593,1.099076
23.77905166,89.67506988,1.096409
23.779065,89.67520214,1.093151
23.7790773,89.67533277,1.089194
23.77908851,89.67546188,1.084529
23.77909861,89.67558955,1.079603
23.77910759,89.67571589,1.077211
23.77911539,89.675841,1.082505
23.77912201,89.67596497,1.095139
23.77912743,89.67608792,1.113056
23.77913162,89.67620997,1.147357
23.77913457,89.67633127,1.172126
23.7791363,89.67645198,1.16152
23.77913682,89.67657228,1.140343
23.77913611,89.67669233,1.124244
23.7791342,89.67681228,1.112483
23.77913108,89.67693231,1.102394
23.77912674,89.67705258,1.092723
23.77912121,89.67717325,1.083132
23.77911447,89.67729449,1.073605
23.77910651,89.67741646,1.064192
23.77909735,89.67753931,1.054942
23.77908696,89.67766321,1.045916
23.77907537,89.67778832,1.037154
23.77906255,89.67791479,1.028743
23.77904851,89.6780428,1.020849
23.77903323,89.67817248,1.013529
23.77901671,89.67830401,1.006638
23.77899895,89.67843754,1.000038
23.77897995,89.67857321,0.993908
23.7789597,89.67871117,0.988921
23.77893819,89.67885159,0.985683
23.77891542,89.6789946,0.983335
23.77889139,89.67914036,0.977823
23.7788661,89.679289,0.968511
23.77883955,89.67944068,0.958674
23.77881174,89.67959557,0.945022
23.77878266,89.6797538,0.925677
23.77875232,89.67991552,0.907269
23.77872073,89.68008087,0.908201
23.77868787,89.68024998,0.925187
23.77865376,89.68042303,0.931857
23.77861841,89.68060015,0.927507
23.77858184,89.68078133,0.922326
23.77854414,89.68096641,0.918196
23.77850539,89.68115521,0.914849
23.77846566,89.68134757,0.911897
23.77842503,89.68154331,0.909179
23.77838359,89.68174224,0.906667
23.77834143,89.68194417,0.904361
23.77829862,89.68214889,0.902194
23.77825525,89.68235626,0.90014
23.7782114,89.68256608,0.898175
23.77816716,89.68277815,0.89625
23.77812261,89.68299228,0.894341
23.77807785,89.68320825,0.892398
23.77803295,89.6834259,0.890597
23.77798798,89.68364504,0.889516
23.77794305,89.68386549,0.889178
23.77789823,89.68408706,0.888987
23.77785361,89.68430956,0.888547
23.77780928,89.68453278,0.887886
23.77776531,89.68475652,0.889329
23.77772181,89.68498061,0.89333
23.77767883,89.68520486,0.898165
23.77763648,89.68542906,0.903571
23.77759483,89.68565307,0.907989
23.77755397,89.68587667,0.909609
23.77751399,89.68609966,0.908535
23.77747496,89.68632185,0.905646
23.77743699,89.68654305,0.900603
23.77740014,89.68676302,0.89461
23.7773645,89.68698158,0.89
23.77733016,89.68719852,0.887416
23.77729719,89.68741359,0.886675
23.77726561,89.68762657,0.887031
23.77723539,89.68783736,0.887646
23.77720651,89.68804583,0.887811
23.7771789,89.6882519,0.887029
23.77715254,89.68845547,0.885286
23.77712739,89.68865641,0.883665
23.77710338,89.68885466,0.884689
23.77708046,89.68905012,0.889317
23.77705861,89.6892427,0.895632
23.77703775,89.68943228,0.901386
23.77701785,89.6896188,0.90495
23.77699885,89.68980216,0.906096
23.7769807,89.68998227,0.905736
23.77696335,89.69015906,0.905089
23.77694674,89.69033242,0.909401
23.77693085,89.69050227,0.921716
23.77691559,89.6906685,0.935617
23.77690094,89.69083103,0.94155
23.77688685,89.69098979,0.939822
23.77687324,89.69114471,0.944103
23.77686009,89.69129568,0.961062
23.77684733,89.69144264,0.983939
23.77683492,89.69158552,1.007059
23.77682282,89.69172425,1.029638
23.77681097,89.69185875,1.052022
23.77679933,89.69198899,1.074236
23.77678784,89.69211491,1.09567
23.77677648,89.69223644,1.115704
23.77676519,89.69235357,1.134709
23.77675394,89.69246625,1.154478
23.77674268,89.69257444,1.176318
23.77673139,89.69267819,1.198977
23.77672007,89.69277758,1.218178
23.77670867,89.6928728,1.233722
23.77669723,89.69296402,1.249319
23.77668573,89.69305143,1.265761
23.77667415,89.69313519,1.282126
23.7766625,89.69321549,1.298032
23.77665079,89.69329248,1.31412
23.776639,89.69336634,1.330563
23.77662715,89.69343721,1.347201
23.77661522,89.69350527,1.363515
23.77660322,89.69357066,1.377862
23.77659115,89.69363356,1.38921
23.77657901,89.69369412,1.398597
23.77656678,89.69375249,1.407212
23.77655448,89.69380883,1.415493
23.77654208,89.69386327,1.423453
23.77652961,89.69391599,1.430788
23.77651704,89.69396714,1.436888
23.77650435,89.69401687,1.441663
23.77649156,89.69406533,1.446125
23.77647864,89.69411267,1.450608
23.77646559,89.69415903,1.453101
23.77645238,89.69420458,1.4521
23.77643901,89.69424945,1.450562
23.77642545,89.6942938,1.452277
23.7764117,89.69433777,1.454364
23.77639773,89.69438152,1.451748
23.77638353,89.69442518,1.446766
23.77636908,89.69446889,1.445862
23.77635437,89.69451281,1.448987
23.77633937,89.69455708,1.449564
23.77632408,89.69460181,1.443012
23.77630851,89.69464709,1.4337
23.77629265,89.69469296,1.427098
23.7762765,89.69473941,1.421059
23.77626005,89.69478649,1.411993
23.77624329,89.6948342,1.400389
23.7762262,89.69488257,1.38899
23.77620878,89.69493163,1.378819
23.776191,89.69498139,1.369256
23.77617286,89.69503188,1.359957
23.77615434,89.69508314,1.351104
23.77613542,89.69513518,1.34275
23.77611609,89.69518804,1.334748
23.77609633,89.69524175,1.327055
23.77607612,89.69529633,1.319798
23.77605545,89.69535183,1.313107
23.77603429,89.69540827,1.306993
23.77601264,89.69546566,1.301376
23.77599046,89.69552406,1.296135
23.77596775,89.69558349,1.29111
23.77594449,89.69564398,1.286169
23.77592066,89.69570555,1.281204
23.77589624,89.69576823,1.276152
23.77587122,89.69583207,1.270999
23.77584558,89.69589709,1.265739
23.77581929,89.69596332,1.260384
23.77579236,89.69603079,1.254932
23.77576475,89.69609952,1.249374
23.77573644,89.69616958,1.243692
23.77570743,89.69624097,1.23783
23.7756777,89.69631373,1.231707
23.77564723,89.6963879,1.225209
23.77561599,89.69646353,1.218121
23.77558399,89.69654065,1.210104
23.77555123,89.69661928,1.200947
23.77551774,89.69669943,1.190846
23.77548356,89.69678112,1.180234
23.7754487,89.69686436,1.16946
23.77541321,89.69694915,1.158661
23.77537712,89.69703551,1.147899
23.77534048,89.69712345,1.13722
23.7753033,89.69721297,1.126622
23.77526565,89.69730406,1.116055
23.77522756,89.69739673,1.105388
23.77518906,89.69749099,1.094494
23.77515022,89.69758682,1.083338
23.77511105,89.69768423,1.072028
23.77507162,89.69778322,1.061288
23.77503196,89.69788379,1.054915
23.77499211,89.69798593,1.056468
23.77495214,89.69808965,1.062727
23.77491208,89.69819492,1.065537
23.77487197,89.69830173,1.063247
23.77483188,89.69841009,1.059211
23.77479184,89.69851999,1.054992
23.7747519,89.69863143,1.051877
23.7747121,89.69874438,1.050061
23.7746725,89.69885884,1.049129
23.77463315,89.69897479,1.04835
23.77459409,89.6990922,1.047509
23.77455539,89.69921107,1.047127
23.77451708,89.69933135,1.04774
23.77447921,89.69945304,1.049265
23.77444184,89.69957609,1.051505
23.77440501,89.69970046,1.054569
23.77436875,89.69982605,1.058576
23.77433309,89.69995279,1.063464
23.774298,89.70008061,1.069191
23.77426348,89.70020946,1.075734
23.77422951,89.70033926,1.083102
23.7741961,89.70046997,1.091279
23.7741632,89.70060153,1.100187
23.77413082,89.70073389,1.109727
23.77409892,89.70086701,1.119741
23.77406751,89.70100083,1.130034
23.77403654,89.70113532,1.140457
23.774006,89.70127047,1.150835
23.77397587,89.70140621,1.160906
23.77394614,89.70154254,1.170821
23.77391677,89.70167943,1.181239
23.77388776,89.70181683,1.192751
23.77385908,89.70195473,1.205516
23.7738307,89.70209314,1.219383
23.77380261,89.70223203,1.234129
23.77377478,89.70237138,1.249431
23.7737472,89.7025112,1.264847
23.77371983,89.70265151,1.279891
23.77369267,89.70279232,1.294606
23.77366568,89.70293366,1.309789
23.77363886,89.70307559,1.326378
23.77361216,89.70321817,1.344718
23.77358557,89.70336154,1.36458
23.77355909,89.70350588,1.385241
23.77353271,89.70365143,1.405161
23.77350647,89.70379863,1.421345
23.77348052,89.70394816,1.427739
23.79444607,89.59805484,0
23.79441818,89.59814825,0
23.7943857,89.59824316,0
23.79434987,89.59833981,0
23.79431147,89.59843818,0
23.79427108,89.59853817,0
23.79422912,89.59863968,0
23.79418587,89.59874258,0
23.79414159,89.59884677,0
23.79409648,89.59895217,0
23.79405068,89.59905872,0
23.79400431,89.59916636,0
23.79395746,89.59927507,0
23.79391025,89.5993848,0
23.79386271,89.59949556,0
23.79381493,89.59960733,0
23.79376694,89.59972011,0
23.7937188,89.5998339,0
23.79367056,89.5999487,0
23.79362223,89.60006452,0
23.79357386,89.60018138,0
23.79352549,89.60029929,0
23.79347712,89.60041828,0
23.79342879,89.60053836,0
23.79338052,89.60065955,0
23.79333233,89.6007819,0
23.79328422,89.60090541,0
23.79323623,89.60103011,0
23.79318835,89.60115605,0
23.7931406,89.60128323,0
23.79309299,89.6014117,0
23.7930455,89.60154147,0.000038
23.79299815,89.6016726,0
23.79295094,89.60180507,0
23.79290384,89.60193889,0.039038
23.79285687,89.60207406,0.026173
23.79281,89.60221055,0.016306
23.79276322,89.60234835,0.060111
23.79271651,89.60248746,0
23.79266985,89.60262786,0
23.79262323,89.60276954,0.01421
23.7925766,89.60291249,0.014447
23.79252996,89.6030567,0
23.79248328,89.60320214,0
23.79243652,89.60334882,0
23.79238966,89.60349672,0
23.79234267,89.60364583,0
23.79229552,89.60379614,0
23.7922482,89.60394763,0
23.79220065,89.6041003,0
23.79215286,89.60425414,0
23.7921048,89.60440913,0
23.79205644,89.60456527,0
23.79200774,89.60472254,0
23.79195867,89.60488095,0
23.79190921,89.60504047,0
23.79185932,89.60520112,0
23.79180896,89.60536289,0
23.79175811,89.60552577,0
23.79170674,89.60568976,0
23.79165479,89.60585488,0
23.79160226,89.60602111,0
23.79154909,89.60618848,0
23.79149525,89.60635697,0
23.79144073,89.60652662,0
23.79138549,89.60669742,0
23.79132953,89.60686937,0
23.79127283,89.60704246,0
