lat,longitude,magnitude of bed shear stress (N/m^2)
25.83090000000,89.73970000000,9.87E-26
25.82810000000,89.73940000000,5.26E-26
25.82550000000,89.73920000000,6.32E-27
25.82310000000,89.73910000000,3.75E-26
25.82080000000,89.73890000000,4.53E-26
25.81870000000,89.73870000000,4.39E-26
25.81690000000,89.73840000000,1.93E-25
25.81520000000,89.73820000000,3.11E-25
25.81360000000,89.73780000000,4.27E-25
25.81200000000,89.73730000000,1.84E-25
25.81040000000,89.73670000000,1.32E-25
25.80870000000,89.73610000000,9.93E-26
25.80710000000,89.73520000000,7.19E-26
25.80550000000,89.73440000000,1.90E-26
25.80380000000,89.73350000000,2.13E-26
25.80180000000,89.73290000000,1.75E-25
25.79970000000,89.73250000000,1.54E-25
25.79770000000,89.73250000000,1.88E-26
25.79390000000,89.73330000000,3.92E-09
25.79240000000,89.73390000000,8.88E-09
25.79100000000,89.73460000000,1.13E-09
25.78960000000,89.73520000000,4.84E-10
25.78830000000,89.73580000000,3.46E-09
25.78700000000,89.73630000000,4.84E-09
25.78560000000,89.73680000000,1.67E-09
25.78410000000,89.73720000000,2.67E-09
25.78270000000,89.73740000000,5.19E-10
25.78140000000,89.73750000000,3.69E-10
25.78010000000,89.73730000000,3.06E-09
25.77880000000,89.73690000000,3.52E-09
25.77750000000,89.73610000000,4.88E-09
25.77620000000,89.73520000000,6.58E-09
25.77490000000,89.73420000000,2.96E-09
25.77350000000,89.73320000000,1.28E-09
25.77210000000,89.73230000000,9.26E-09
25.77060000000,89.73160000000,6.85E-09
25.76900000000,89.73110000000,3.89E-09
25.76750000000,89.73080000000,1.19E-10
25.76610000000,89.73050000000,7.06E-09
25.76470000000,89.73010000000,5.41E-10
25.76340000000,89.72960000000,5.70E-09
25.76220000000,89.72910000000,4.27E-09
25.76100000000,89.72850000000,5.92E-09
25.75970000000,89.72780000000,6.07E-09
25.75850000000,89.72710000000,1.68E-10
25.75720000000,89.72630000000,5.79E-09
25.75580000000,89.72520000000,2.79E-09
