x,y,z
764726.5406,2633877.573,0
764734.8395,2633874.137,0
764743.753,2633870.158,0
764753.083,2633865.835,0
764762.7325,2633861.27,0
764772.6425,2633856.522,0
764782.7731,2633851.632,0
764793.0956,2633846.631,0
764803.5889,2633841.539,0
764814.2374,2633836.376,0
764825.0293,2633831.155,0
764835.9559,2633825.887,0
764847.011,2633820.582,0
764858.1899,2633815.249,0
764869.4897,2633809.894,0
764880.9082,2633804.523,0
764892.4444,2633799.143,0
764904.0976,2633793.758,0
764915.8675,2633788.374,0
764927.7546,2633782.993,0
764939.7599,2633777.621,0
764951.8847,2633772.26,0
764964.1306,2633766.914,0
764976.4996,2633761.587,0
764988.9937,2633756.28,0
765001.615,2633750.996,0
765014.3657,2633745.739,0
765027.248,2633740.51,0
765040.2643,2633735.312,0
765053.417,2633730.145,0
765066.7086,2633725.013,0
765080.1412,2633719.916,0
765093.7162,2633714.856,0
765107.4326,2633709.832,0
765121.2876,2633704.842,0
765135.278,2633699.884,0
765149.4014,2633694.954,0
765163.6557,2633690.048,0
765178.039,2633685.164,0
765192.5495,2633680.298,0
765207.1856,2633675.445,0
765221.9457,2633670.602,0
765236.8285,2633665.766,0
765251.8323,2633660.932,0
765266.956,2633656.096,0
765282.1987,2633651.256,0
765297.5592,2633646.405,0
765313.0364,2633641.542,0
765328.6293,2633636.663,0
765344.3368,2633631.762,0
765360.1578,2633626.838,0
765376.0914,2633621.885,0
765392.1368,2633616.901,0
765408.2931,2633611.881,0
765424.5597,2633606.822,0
765440.9366,2633601.719,0
765457.4231,2633596.569,0
765474.0193,2633591.368,0
765490.7248,2633586.113,0
765507.5401,2633580.798,0
765524.4654,2633575.42,0
765541.5014,2633569.976,0
765558.6488,2633564.46,0
765575.9089,2633558.87,0
765593.284,2633553.2,0
765610.7756,2633547.448,0
765628.3842,2633541.614,0
765646.1098,2633535.699,0
765663.9518,2633529.701,0
765681.9099,2633523.622,0
765699.9828,2633517.463,0
765718.1697,2633511.223,0
765736.4693,2633504.903,0
765754.8803,2633498.505,0
765773.4018,2633492.029,0
765792.0325,2633485.476,0
765810.7709,2633478.847,0
765829.6158,2633472.142,0
765848.5662,2633465.363,0
765867.6209,2633458.51,0
765886.7784,2633451.584,0
765906.038,2633444.586,0
765925.3992,2633437.518,0
765944.8604,2633430.378,0
765964.421,2633423.169,0
765984.0807,2633415.891,0
766003.8382,2633408.545,0
